the_geom,lng,street,city,state,latitude,the_geom_webmercator,district_number,block,side,lat,longitude
0101000020E6100000D8E5DF577ACA52C08802751E63F54340,-75.16371724,S HUTCHINSON ST,Philadelphia, PA,39.917087371,0101000020110F0000D9A0ACAE14EB5FC11FBE9E3C23845241,22,799,E/S,39.917087371,-75.16371724
0101000020E610000040388CA096CF52C0885184FF6DF94340,-75.243568551,CARPENTER ST,Philadelphia, PA,39.9486693760001,0101000020110F000017E623EFC2F35FC1AAA8AE769D885241,1,2000,B/S,39.9486693760001,-75.243568551
0101000020E61000002CBBBF2BD6CD52C088EEFC8967FB4340,-75.2161969539999,FAIRMOUNT AV,Philadelphia, PA,39.9640972600001,0101000020110F0000E208A32FC9F05FC1457B2A97CD8A5241,6,1800,B/S,39.9640972600001,-75.2161969539999
0101000020E61000008CBB29613DCA52C0C80AD68962F54340,-75.1599963099999,S BEULAH,Philadelphia, PA,39.917069654,0101000020110F00007BAE1A21ADEA5FC19FD70B9822845241,29,2700,E/S,39.917069654,-75.1599963099999
0101000020E610000014CF43E7A1CE52C038E2D95077FA4340,-75.228631798,CHANCELLOR ST,Philadelphia, PA,39.95676623,0101000020110F0000216C073F23F25FC1091CD169C3895241,2,5100,S/S,39.95676623,-75.228631798
0101000020E61000009484B8303AC952C010FF113C74F84340,-75.144176655,S 13TH ST,Philadelphia, PA,39.9410472000001,0101000020110F0000E0DACDDEF4E85FC1C28F48C788875241,23,1100,E/S,39.9410472000001,-75.144176655
0101000020E61000005CDC414A7ECB52C03076F7AA5CF84340,-75.179583134,KIMBALL ST,Philadelphia, PA,39.940327998,0101000020110F00008FD9663ACEEC5FC1E55B49AC6E875241,1,2200,S/S,39.940327998,-75.179583134
0101000020E610000044B260453AC952C070E7604274F84340,-75.14418158,N 19TH ST,Philadelphia, PA,39.9410479520001,0101000020110F0000B65BE401F5E85FC13F7045CE88875241,6,499,W/S,39.9410479520001,-75.14418158
0101000020E61000007C9899A623CC52C01839813F75F94340,-75.189675951,SOUTH ST,Philadelphia, PA,39.948890627,0101000020110F00009B4C251CE7ED5FC168B6D77EA5885241,1,2500,N/S,39.948890627,-75.189675951
0101000020E61000004CB9A3AE3EC952C0E0352ED773F84340,-75.1444508169999,S 46TH ST,Philadelphia, PA,39.941035173,0101000020110F00002A8F0E80FCE85FC16B6D865788875241,2,299,B/S,39.941035173,-75.1444508169999
0101000020E6100000F05698E9F7C752C080FC3E19ACFC4340,-75.124506377,E THOMPSON ST,Philadelphia, PA,39.974002033,0101000020110F00008065F172D1E65FC16A34DC42358C5241,25,700,B/S,39.974002033,-75.124506377
